ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Abundance upper error,Abundance lower error,Abundance SE,Abundance SD,Abundance error type,Fish Biomass,Biomass units,Biomass upper error,Biomass lower error,Biomass SE,Biomass SD,Biomass error type,Fish Species Richness,Species Richness units,Species richness upper error,Species richness lower error,Species richness SE,Species richness SD,Species richness error type,Paper conclusion,Number of metrics
1,2020,"Hylkema, Debrot, Osinga, et al",12/20/2022,Y,"Saba and St Eustatius, Caribbean",17.5,-63,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Bare,Bare,Bare sand,Control,3,0,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,3.1,fish / plot,10.1426,0,0.626550531,0.361739118,1.5 interquartile range,0,g / plot,128.7876,0,7.955744996,4.593251515,1.5 interquartile range,5.988,species / plot,7.0299,0.08319,0.429127131,0.247756665,1.5 interquartile range,Layered cake reefs had the highest abundance and biomass. This was due to the complexity of the structure,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,3,4.56,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,9.6,fish / plot,23.8352,0.3803,1.448906597,0.836526614,1.5 interquartile range,331.411,g / plot,833.3333,15.1513,50.54250062,29.18072634,1.5 interquartile range,17.964,species / plot,18.0948,4.9917,0.809432913,0.46732631,1.5 interquartile range,,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Layered,Designed reefs,Layered cake,Experimental,3,3.42,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,36.7,fish / plot,62.8843,15.2139,2.944798616,1.700180274,1.5 interquartile range,1152.7377,g / plot,3280.3029,143.9395,193.7461947,111.8594177,1.5 interquartile range,22.979,species / plot,25.9567,17.0965,0.547331357,0.316001906,1.5 interquartile range,,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,High rugosity,Low vertical relief,No openings,Rock,Rubble,Rubble and rocks,Rock pile,Experimental,4,14.4,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,15.5,fish / plot,31.0618,3.2964,1.286388065,0.643194033,1.5 interquartile range,410.662,g / plot,1083.3334,22.7275,49.13852391,24.56926195,1.5 interquartile range,14.07,species / plot,20.0499,10.1082,0.460605078,0.230302539,1.5 interquartile range,,3
2,2020,"Harrison, Rousseau ",1/10/2023,Y,"Nantucket Sound, USA",41.60832,-70.192077,,North Atlantic,Offshore,41,Established,Sand,Low rugosity,High vertical relief,No openings,Concrete,Disk,Non-designed ,Concrete filled tires,Experimental,20,770926.2,m3,NA,136.8,m2,136.8,10.63,m,5,km,Habitat,BRUV,NA,NA,,,NA,,,,,0,,NA,,,,,0,,3.1,number of species,3.3443,2.8759,0.2443,0.054627141,SE,Abundance varied with age of the reef,1
2,2020,,,Y,,41.625972,-70.06944,,North Atlantic,Offshore,4,Established,Sand,High rugosity,High vertical relief,No openings,Concrete,Rubble,Non-designed ,Concrete rubble,Experimental,20,2006.706,m3,NA,136.8,m2,136.8,10.18,m,5,km,Habitat,BRUV,NA,NA,,,NA,,,,,0,,NA,,,,,0,,3.4,number of species,3.6909,3.0445,0.2909,0.065047217,SE,,1
2,2020,,,Y,,41.61255,-70.12772,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,20,0,m3,NA,136.8,m2,136.8,9.64,m,5,km,Natural,BRUV,NA,NA,,,NA,,,,,0,,NA,,,,,0,,2.5,number of species,2.6979,2.2295,0.1979,0.044251785,SE,,1
2,2020,,,Y,,41.56829,-70.24202,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Reef,Natural reef,Natural reef,NA,20,NA,m3,NA,136.8,m2,136.8,7.1,m,5,km,Natural,BRUV,NA,NA,,,NA,,,,,0,,NA,,,,,0,,3.1,number of species,NA,NA,,0,,,1
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,94.9395,number of fish,145.8333,43.5185,50.8938,29.38354913,SE,NA,NA,,,,0,,4.1195,number of species,7.2381,1.0476,3.1186,1.800524549,SE,,2
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,NA,Established,Sand,NA,NA,NA,Natural,Reef,Natural reef,Natural reef,NA,3,NA,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,66.16314,number of fish,NA,NA,,0,,NA,NA,,,,0,,26.8012,number of species,,,,0,,,2
3,2022,"Boakes, Hall, Jones, et al",2/1/2023,Y,Bali,-8.07431,115.21534,,South Pacific,Offshore,8,Established,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Roti buaya,Experimental,10,100,m3,NA,10,m2,100, 5-10,m,NA,NA,Restoration,Underwater video census,NA,NA,,,82.2507,number of fish,109.2593,55.3241,27.0086,8.540869241,SE,NA,NA,,,,0,,25.105,number of species,27.8095,22.3333,2.7045,0.855237993,SE,The mean number of species was not different between the ARs even though one was older. The bare sand had the most different community structure,2
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,1,New,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Roti buaya,Experimental,10,100,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,86.7824,number of fish,112.5,60.1852,25.7176,8.132619195,SE,NA,NA,,,,0,,22.294,number of species,26.1905,18.381,3.8965,1.23218149,SE,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,6,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,May,,X,,0.923564958,number of fish,1.24,0.42,0.129184065,0.052739174,SD,,,,,,0,,0.83359264,number of species,1.24,0.42,-0.16591511,-0.06773456,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,6,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,May,,X,,4.522292132,number of fish,5.89,2.87,0.558364399,0.227951311,SD,,,,,,0,,2.681181896,number of species,2.9,1.86,-0.089332117,-0.036469684,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,6,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,May,,X,,7.866241257,number of fish,6.87,2.63,-0.40671379,-0.16604021,SD,,,,,,0,,2.513219172,number of species,2.21,1.29,0.123788709,0.050536529,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,6,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,May,,X,,8.343948275,number of fish,7.58,3.92,-0.311880577,-0.127324713,SD,,,,,,0,,2,number of species,NA,NA,,0.89,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,June,,X,,0.923564958,number of fish,6.25,-0.99,1.883179169,0.66580438,SD,,,,,,0,,0.839813385,number of species,1.52,0.24,-0.240482284,-0.085023327,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,August,,X,,2.643310708,number of fish,1.92,-0.42,-0.255728953,-0.090413839,SD,,,,,,0,,0.895801039,number of species,0.9,-0.14,-0.001484557,-0.00052487,SD,,2
