ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Fish Biomass,Biomass units,Fish Species Richness,Species Richness units,Paper conclusion,Number of metrics
1,2020,"Hylkema, Debrot, Osinga, et al",12/20/2022,Y,"Saba and St Eustatius, Caribbean",17.5,-63,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Bare,Bare,Bare sand,Control,3,0,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,3.1,fish / plot,0,g / plot,5.988,species / plot,Layered cake reefs had the highest abundance and biomass. This was due to the complexity of the structure,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,3,4.56,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,9.6,fish / plot,331.411,g / plot,17.964,species / plot,,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,High rugosity,Low vertical relief,No openings,Rock,Rubble,Rubble and rocks,Rock pile,Experimental,4,14.4,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,15.5,fish / plot,410.662,g / plot,14.07,species / plot,,3
1,2020,,,Y,,17.5,-63,,North Atlantic,Offshore,1,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Layered,Designed reefs,Layered cake,Experimental,3,3.42,m3,NA,2,m2,5.6677,15,m,> 1,km,Research,Underwater visual census,NA,NA,,,36.7,fish / plot,1152.7377,g / plot,22.979,species / plot,,3
2,2020,"Harrison, Rousseau ",1/10/2023,Y,"Nantucket Sound, USA",41.60832,-70.192077,,North Atlantic,Offshore,41,Established,Sand,Low rugosity,High vertical relief,No openings,Concrete,Disk,Non-designed ,Concrete filled tires,Experimental,1,770926.2,m3,NA,136.8,m2,136.8,10.63,m,5,km,Habitat,BRUV,NA,NA,,,NA,,NA,,3.1,number of species,Abundance varied with age of the reef,1
2,2020,,,Y,,41.625972,-70.06944,,North Atlantic,Offshore,4,Established,Sand,High rugosity,High vertical relief,No openings,Concrete,Rubble,Non-designed ,Concrete rubble,Experimental,1,2006.706,m3,NA,136.8,m2,136.8,10.18,m,5,km,Habitat,BRUV,NA,NA,,,NA,,NA,,3.4,number of species,,1
2,2020,,,Y,,41.61255,-70.12772,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,136.8,m2,136.8,9.64,m,5,km,Natural,BRUV,NA,NA,,,NA,,NA,,2.5,number of species,,1
2,2020,,,Y,,41.56829,-70.24202,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Reef,Natural reef,Natural reef,NA,1,NA,m3,NA,136.8,m2,136.8,7.1,m,5,km,Natural,BRUV,NA,NA,,,NA,,NA,,3.1,number of species,,1
3,2022,"Boakes, Hall, Jones, et al",2/1/2023,Y,Bali,-8.07431,115.21534,,South Pacific,Offshore,8,Established,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Roti buaya,Experimental,10,100,m3,NA,10,m2,100, 5-10,m,NA,NA,Restoration,Underwater video census,NA,NA,,,82.2507,number of fish,NA,NA,25.105,number of species,The mean number of species was not different between the ARs even though one was older. The bare sand had the most different community structure,2
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,1,New,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Roti buaya,Experimental,10,100,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,86.7824,number of fish,NA,NA,22.294,number of species,,2
